Interest,Percentage,Goal,Recommended_Course
ai,77,research,Machine Learning
iot,71,higher studies,PhD in IoT
web,51,startup,Tech Startup Management
ai,66,higher studies,PhD in AI
ai,71,job,AI Engineer
ai,64,research,Deep Learning
ai,68,higher studies,PhD in AI
web,93,higher studies,MTech in Web Technologies
ai,83,startup,AI Product Development
iot,69,job,IoT Fundamentals
ai,85,startup,AI Product Development
web,50,startup,Entrepreneurship + Web Development
web,81,startup,Tech Startup Management
iot,63,higher studies,PhD in IoT
iot,52,higher studies,PhD in IoT
ai,71,startup,AI Product Development
ai,83,research,Machine Learning
cyber,74,higher studies,PhD in Cyber Law
cyber,69,startup,Security Product Development
web,66,higher studies,PhD in Web Science
web,81,higher studies,MTech in Web Technologies
iot,85,startup,IoT Product Development
iot,82,research,Advanced IoT
ai,79,startup,AI Startup Accelerator
cyber,81,startup,Cyber Security Consultancy
cyber,53,job,Network Security
ai,81,startup,AI Product Development
ai,76,higher studies,PhD in AI
web,80,job,Full Stack Development
web,87,higher studies,PhD in Web Science
cyber,50,job,Network Security
ai,50,higher studies,PhD in AI
web,95,higher studies,PhD in Web Science
web,67,job,Full Stack Development
web,79,job,Frontend Development
cyber,89,startup,Cyber Security Consultancy
iot,85,job,IoT Fundamentals
ai,72,job,AI Engineer
web,76,startup,Entrepreneurship + Web Development
web,73,higher studies,PhD in Web Science
ai,91,startup,AI Startup Accelerator
cyber,69,job,Network Security
cyber,72,job,Network Security
iot,61,research,Advanced IoT
web,94,higher studies,PhD in Web Science
cyber,62,job,Ethical Hacking
ai,51,higher studies,PhD in AI
web,53,startup,Tech Startup Management
web,72,startup,Tech Startup Management
web,87,higher studies,MTech in Web Technologies
cyber,77,startup,Cyber Security Consultancy
iot,86,job,IoT Fundamentals
iot,90,higher studies,PhD in IoT
iot,63,higher studies,PhD in IoT
cyber,58,higher studies,PhD in Cyber Law
web,92,startup,Entrepreneurship + Web Development
cyber,66,higher studies,MTech in Cyber Security
iot,56,research,Embedded Systems
cyber,58,job,Network Security
web,62,higher studies,PhD in Web Science
web,85,startup,Entrepreneurship + Web Development
iot,63,startup,IoT Product Development
web,74,higher studies,MTech in Web Technologies
cyber,61,startup,Cyber Security Consultancy
web,78,startup,Entrepreneurship + Web Development
iot,88,job,IoT Developer
iot,90,higher studies,PhD in IoT
cyber,72,job,Ethical Hacking
ai,65,job,Data Science
web,72,higher studies,MTech in Web Technologies
iot,94,research,Advanced IoT
web,63,job,Frontend Development
ai,73,startup,AI Product Development
ai,94,job,Data Science
iot,55,startup,IoT Startup Bootcamp
web,75,research,General Elective
cyber,92,job,Ethical Hacking
web,92,job,Full Stack Development
iot,51,startup,IoT Product Development
cyber,52,job,Ethical Hacking
ai,62,higher studies,PhD in AI
web,82,startup,Entrepreneurship + Web Development
cyber,71,research,Forensics
cyber,55,research,Forensics
iot,59,job,IoT Fundamentals
cyber,95,startup,Security Product Development
cyber,67,research,Cyber Security Advanced
cyber,82,higher studies,PhD in Cyber Law
iot,72,job,IoT Developer
web,87,higher studies,MTech in Web Technologies
ai,90,startup,AI Startup Accelerator
